CommunityID,Density,ClusteringCoeff,Conductance,FlakeODF,FOMD,TPR,CutRatio,Cohesiveness,Separability
34,0.49090909,0.34146341,0.14285714,0.0,0.36363636,0.90909091,0.00032872,0.2,3.0
35,1.0,0.0,0.33333333,0.0,0.0,0.0,0.00020016,1.0,1.0
36,0.47619048,0.62068966,0.0,0.0,0.6,1.0,0.0,0.28571429,50.0
37,0.83333333,0.75,0.0,0.0,0.0,1.0,0.0,0.66666667,5.0
38,0.95238095,0.94736842,0.0,0.0,0.71428571,1.0,0.0,0.83333333,20.0
39,0.8,0.72972973,0.0,0.0,0.0,1.0,0.0,0.6,12.0
40,0.75555556,0.75,0.0,0.0,0.8,1.0,0.0,0.55555556,34.0
41,0.67857143,0.75949367,0.05,0.0,0.25,1.0,0.00010032,0.28571429,9.5
42,0.95238095,0.94736842,0.0,0.0,0.71428571,1.0,0.0,0.83333333,20.0
43,0.30666667,0.35732984,0.0,0.0,0.56,1.0,0.0,0.125,92.0
44,0.75,0.78125,0.20754717,0.125,0.625,1.0,0.00055177,0.42857143,1.90909091
45,0.28205128,0.43548387,0.38888889,0.15384615,0.0,0.46153846,0.00086604,0.0,0.78571429
46,0.6,0.67164179,0.01492537,0.0,0.45454545,1.0,3.652e-05,0.2,33.0
47,0.2987013,0.38341969,0.0,0.0,0.40909091,0.90909091,0.0,0.14285714,69.0
48,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0
49,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
50,0.63888889,0.69230769,0.0212766,0.0,0.33333333,1.0,4.461e-05,0.375,23.0
51,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
52,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0
53,0.36666667,0.4873817,0.0887574,0.0,0.47619048,1.0,0.00028813,0.15,5.13333333
54,0.80555556,0.8313253,0.0,0.0,0.66666667,1.0,0.0,0.5,29.0
55,0.80952381,0.81428571,0.0,0.0,0.42857143,1.0,0.0,0.5,17.0
56,0.54545455,0.67741935,0.0,0.0,0.5,0.91666667,0.0,0.09090909,36.0
57,0.77777778,0.78440367,0.0,0.0,0.9,1.0,0.0,0.55555556,35.0
58,0.71428571,0.69767442,0.0,0.0,0.375,1.0,0.0,0.42857143,20.0
59,0.54545455,0.6,0.0,0.0,0.45454545,1.0,0.0,0.2,30.0
60,0.39166667,0.55660377,0.09615385,0.0,0.3125,1.0,0.00025161,0.13333333,4.7
61,0.82142857,0.82300885,0.0,0.0,0.625,1.0,0.0,0.57142857,23.0
62,0.61904762,0.6,0.21212121,0.0,0.0,0.85714286,0.00040112,0.33333333,1.85714286
63,0.39705882,0.49723757,0.0,0.0,0.52941176,0.94117647,0.0,0.0625,54.0
64,0.29487179,0.46987952,0.14814815,0.0,0.15384615,0.61538462,0.00024744,0.08333333,2.875
65,0.57777778,0.73880597,0.0,0.0,0.5,1.0,0.0,0.22222222,26.0
66,0.70909091,0.73228346,0.0,0.0,0.72727273,1.0,0.0,0.5,39.0
67,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
68,0.71428571,0.70909091,0.0,0.0,0.28571429,1.0,0.0,0.33333333,15.0
69,0.51648352,0.55397727,0.0,0.0,0.35714286,1.0,0.0,0.30769231,47.0
70,0.71428571,0.67058824,0.0,0.0,0.25,1.0,0.0,0.42857143,20.0
71,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0
72,0.57777778,0.64615385,0.0,0.0,0.4,1.0,0.0,0.22222222,26.0
73,0.95238095,0.94736842,0.0,0.0,0.71428571,1.0,0.0,0.83333333,20.0
74,0.57142857,0.64390244,0.0,0.0,0.5,1.0,0.0,0.30769231,52.0
75,0.27248677,0.41529526,0.0,0.0,0.39285714,1.0,0.0,0.11111111,103.0
76,0.55555556,0.73333333,0.24528302,0.0,0.33333333,0.77777778,0.00057987,0.125,1.53846154
77,0.6043956,0.67205543,0.0,0.0,0.64285714,1.0,0.0,0.38461538,55.0
78,0.63636364,0.68835616,0.0,0.0,0.58333333,1.0,0.0,0.36363636,42.0
79,0.40935673,0.48686244,0.15662651,0.0,0.31578947,1.0,0.00055156,0.11111111,2.69230769
80,0.66666667,0.66071429,0.0,0.0,0.7,1.0,0.0,0.22222222,30.0
81,0.24242424,0.36314572,0.0,0.0,0.39393939,1.0,0.0,0.09375,128.0
82,0.47272727,0.72115385,0.07142857,0.0,0.27272727,1.0,0.0001461,0.2,6.5
83,0.61538462,0.68219178,0.07692308,0.0,0.46153846,1.0,0.00024744,0.25,6.0
84,0.85714286,0.85714286,0.0,0.0,0.42857143,1.0,0.0,0.66666667,18.0
85,0.25071225,0.405,0.02222222,0.0,0.37037037,0.96296296,5.991e-05,0.03846154,22.0
86,0.8,0.78947368,0.0,0.0,0.0,1.0,0.0,0.5,8.0
87,0.49450549,0.43772242,0.0,0.0,0.57142857,1.0,0.0,0.23076923,45.0
88,0.63888889,0.66346154,0.17857143,0.0,0.44444444,1.0,0.00044605,0.375,2.3
89,0.67272727,0.72413793,0.01333333,0.0,0.63636364,1.0,3.652e-05,0.4,37.0
90,0.23715415,0.43731778,0.04,0.0,0.26086957,0.95652174,8.776e-05,0.09090909,12.0
91,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
92,0.36666667,0.49769585,0.07228916,0.0,0.47619048,1.0,0.00023051,0.15,6.41666667
93,0.30434783,0.43783784,0.17204301,0.08695652,0.43478261,1.0,0.00056169,0.09090909,2.40625
94,0.80952381,0.79411765,0.0,0.0,0.28571429,1.0,0.0,0.66666667,17.0
95,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
96,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
97,0.60714286,0.64615385,0.0,0.0,0.25,1.0,0.0,0.28571429,17.0
98,0.7,0.64285714,0.0,0.0,0.0,1.0,0.0,0.5,7.0
99,0.29411765,0.42857143,0.08045977,0.05882353,0.35294118,0.94117647,0.00016583,0.0625,5.71428571
100,1.0,1.0,0.02325581,0.0,1.0,1.0,5.73e-05,1.0,21.0
101,0.66666667,0.64285714,0.0,0.0,0.0,1.0,0.0,0.4,10.0
102,0.46666667,0.57320099,0.0,0.0,0.5,1.0,0.0,0.2,56.0
103,0.61818182,0.63076923,0.0,0.0,0.45454545,1.0,0.0,0.4,34.0
104,0.80555556,0.80981595,0.04918033,0.0,0.77777778,1.0,0.00013382,0.625,9.66666667
105,0.26190476,0.12121212,0.21985816,0.0,0.23809524,0.66666667,0.00059548,0.15,1.77419355
106,0.16809117,0.24107143,0.0,0.0,0.14814815,0.88888889,0.0,0.03846154,59.0
107,0.24242424,0.37937743,0.0,0.0,0.38235294,1.0,0.0,0.09090909,136.0
108,0.23908046,0.39228296,0.02803738,0.0,0.43333333,0.9,8.097e-05,0.03448276,17.33333333
109,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
110,0.41904762,0.55785124,0.0,0.0,0.4,1.0,0.0,0.28571429,44.0
111,0.56363636,0.46296296,0.0,0.0,0.36363636,1.0,0.0,0.3,31.0
112,0.33333333,0.37194127,0.09090909,0.0,0.33333333,1.0,0.00026893,0.1,5.0
113,0.51648352,0.62616822,0.0,0.0,0.5,1.0,0.0,0.23076923,47.0
114,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0
115,0.46666667,0.5331565,0.0,0.0,0.33333333,1.0,0.0,0.21428571,49.0
116,0.66666667,0.71900826,0.0,0.0,0.44444444,1.0,0.0,0.375,24.0
117,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0
118,0.9047619,0.90697674,0.0,0.0,0.57142857,1.0,0.0,0.66666667,19.0
119,0.57777778,0.62903226,0.0,0.0,0.4,1.0,0.0,0.33333333,26.0
120,0.27272727,0.42211055,0.0,0.0,0.26086957,0.95652174,0.0,0.04545455,69.0
121,0.50909091,0.60902256,0.0,0.0,0.27272727,0.90909091,0.0,0.1,28.0
122,0.82142857,0.83478261,0.0,0.0,0.625,1.0,0.0,0.57142857,23.0
123,1.0,0.0,1.0,1.0,0.0,0.0,0.00080032,1.0,0.0
124,1.0,0.0,0.5,0.0,0.0,0.0,0.00040032,1.0,0.5
125,1.0,0.0,1.0,1.0,0.0,0.0,0.00160064,1.0,0.0
126,1.0,0.0,1.0,1.0,0.0,0.0,0.00240096,1.0,0.0
127,0.56060606,0.55778894,0.13953488,0.0,0.66666667,1.0,0.00040193,0.45454545,3.08333333
128,0.52727273,0.52258065,0.03333333,0.0,0.36363636,1.0,7.305e-05,0.3,14.5
129,0.75,0.7755102,0.0,0.0,0.44444444,1.0,0.0,0.5,27.0
130,0.40522876,0.50823529,0.04615385,0.0,0.55555556,1.0,0.0001343,0.23529412,10.33333333
131,0.65151515,0.65753425,0.0,0.0,0.58333333,1.0,0.0,0.45454545,43.0
132,0.8,0.78947368,0.0,0.0,0.0,1.0,0.0,0.5,8.0
133,0.73333333,0.75,0.21428571,0.0,0.0,1.0,0.00040096,0.4,1.83333333
134,0.37894737,0.46223565,0.0,0.0,0.35,1.0,0.0,0.15789474,72.0
135,0.44166667,0.57142857,0.01851852,0.0,0.5625,0.9375,5.032e-05,0.06666667,26.5
136,0.58333333,0.60674157,0.19230769,0.0,0.33333333,1.0,0.00044605,0.25,2.1
137,0.7,0.6,0.0,0.0,0.0,1.0,0.0,0.5,7.0
138,0.70909091,0.73828125,0.0,0.0,0.63636364,1.0,0.0,0.5,39.0
139,0.83333333,0.75,0.0,0.0,0.0,1.0,0.0,0.66666667,5.0
140,0.55238095,0.64383562,0.0,0.0,0.8,1.0,0.0,0.35714286,58.0
141,0.57142857,0.6,0.0,0.0,0.25,1.0,0.0,0.28571429,16.0
142,0.39166667,0.56722689,0.0,0.0,0.6875,1.0,0.0,0.26666667,47.0
143,0.85714286,0.84615385,0.0,0.0,0.57142857,1.0,0.0,0.66666667,18.0
144,0.66666667,0.58333333,0.0,0.0,0.44444444,1.0,0.0,0.5,24.0
145,0.42690058,0.53506098,0.0,0.0,0.47368421,1.0,0.0,0.16666667,73.0
146,0.44444444,0.63829787,0.0,0.0,0.11111111,1.0,0.0,0.25,16.0
147,0.4,0.0,0.11111111,0.0,0.0,0.0,8.016e-05,0.25,4.0
148,1.0,0.0,1.0,1.0,0.0,0.0,0.00160064,1.0,0.0
149,0.50833333,0.58974359,0.0,0.0,0.625,1.0,0.0,0.26666667,61.0
150,0.27339901,0.3801214,0.0,0.0,0.31034483,1.0,0.0,0.10714286,111.0
151,0.66666667,0.0,0.2,0.0,0.0,0.0,0.00013349,0.5,2.0
152,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0
153,0.9047619,0.90697674,0.0,0.0,0.57142857,1.0,0.0,0.66666667,19.0
154,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0
155,0.58333333,0.85714286,0.0,0.0,0.44444444,0.77777778,0.0,0.125,21.0
156,0.61818182,0.68571429,0.0,0.0,0.54545455,1.0,0.0,0.3,34.0
157,0.475,0.55980861,0.0,0.0,0.5625,1.0,0.0,0.26666667,57.0
158,0.76190476,0.75,0.11111111,0.0,0.14285714,1.0,0.00022921,0.5,4.0
159,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0
160,0.93333333,0.92307692,0.0,0.0,0.0,1.0,0.0,0.8,14.0
161,1.0,1.0,0.14285714,0.0,0.0,1.0,0.00013349,1.0,3.0
162,0.51111111,0.63333333,0.0,0.0,0.2,1.0,0.0,0.33333333,23.0
163,0.39705882,0.49541284,0.0,0.0,0.35294118,0.94117647,0.0,0.0625,54.0
164,0.35714286,0.42032967,0.0,0.0,0.28571429,1.0,0.0,0.15,75.0
165,0.75,0.74193548,0.0,0.0,0.375,1.0,0.0,0.57142857,21.0
166,0.63888889,0.64705882,0.0,0.0,0.33333333,1.0,0.0,0.5,23.0
167,0.62121212,0.66666667,0.0,0.0,0.58333333,1.0,0.0,0.36363636,41.0
168,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0
169,1.0,0.0,1.0,1.0,0.0,0.0,0.0020008,1.0,0.0
170,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0
171,0.85714286,0.82894737,0.02702703,0.0,0.28571429,1.0,5.73e-05,0.66666667,18.0
172,0.6,0.65217391,0.25,0.0,0.0,0.83333333,0.00040096,0.2,1.5
173,0.36842105,0.49263158,0.0,0.0,0.47368421,1.0,0.0,0.11111111,63.0
174,1.0,0.0,1.0,1.0,0.0,0.0,0.00160064,1.0,0.0
175,0.60714286,0.75,0.0,0.0,0.25,0.875,0.0,0.14285714,17.0
176,0.95238095,0.94736842,0.0,0.0,0.71428571,1.0,0.0,0.83333333,20.0
177,0.51515152,0.56521739,0.18072289,0.0,0.33333333,1.0,0.00050241,0.27272727,2.26666667
178,0.7,0.64285714,0.0,0.0,0.0,1.0,0.0,0.5,7.0
179,0.63636364,0.67431193,0.0,0.0,0.54545455,1.0,0.0,0.4,35.0
180,0.60714286,0.73770492,0.42372881,0.25,0.125,1.0,0.00125401,0.42857143,0.68
181,0.61818182,0.69587629,0.0,0.0,0.45454545,1.0,0.0,0.4,34.0
182,0.58974359,0.65830721,0.0,0.0,0.69230769,1.0,0.0,0.33333333,46.0
183,0.66666667,0.57692308,0.0,0.0,0.0,1.0,0.0,0.4,10.0
184,0.61818182,0.6969697,0.0,0.0,0.63636364,1.0,0.0,0.3,34.0
185,0.71111111,0.73404255,0.0,0.0,0.5,1.0,0.0,0.44444444,32.0
186,0.77777778,0.75,0.0,0.0,0.66666667,1.0,0.0,0.625,28.0
187,0.7,0.6,0.22222222,0.0,0.0,1.0,0.00032064,0.5,1.75
188,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
189,0.93333333,0.92307692,0.0,0.0,0.0,1.0,0.0,0.8,14.0
190,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
191,0.7,0.6,0.0,0.0,0.0,1.0,0.0,0.5,7.0
192,0.36842105,0.45859873,0.0,0.0,0.42105263,0.94736842,0.0,0.11111111,63.0
193,0.72727273,0.76923077,0.0,0.0,0.72727273,1.0,0.0,0.5,40.0
194,0.68181818,0.70588235,0.0,0.0,0.5,1.0,0.0,0.45454545,45.0
195,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
196,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
197,0.86666667,0.81818182,0.25714286,0.0,0.0,1.0,0.00060144,0.8,1.44444444
198,0.83333333,0.84745763,0.0,0.0,0.66666667,1.0,0.0,0.625,30.0
199,1.0,0.0,1.0,1.0,0.0,0.0,0.00080032,1.0,0.0
200,1.0,0.0,1.0,1.0,0.0,0.0,0.00080032,1.0,0.0
201,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
202,0.5,0.0,0.68421053,1.0,0.0,0.0,0.00130208,0.33333333,0.23076923
203,0.75,0.68478261,0.0,0.0,0.5,1.0,0.0,0.57142857,21.0
204,0.63888889,0.67647059,0.13207547,0.0,0.33333333,1.0,0.00031224,0.5,3.28571429
205,1.0,0.0,1.0,1.0,0.0,0.0,0.00160064,1.0,0.0
206,0.64444444,0.69677419,0.0,0.0,0.6,1.0,0.0,0.33333333,29.0
207,1.0,0.0,0.5,0.0,0.0,0.0,0.00040032,1.0,0.5
208,0.78571429,0.8,0.0,0.0,0.5,1.0,0.0,0.42857143,22.0
209,0.18518519,0.2462203,0.0,0.0,0.22222222,0.77777778,0.0,0.03846154,65.0
210,0.62121212,0.68327402,0.0,0.0,0.5,1.0,0.0,0.27272727,41.0
211,0.76190476,0.76190476,0.0,0.0,0.42857143,1.0,0.0,0.5,16.0
212,0.85714286,0.88461538,0.2173913,0.14285714,0.42857143,1.0,0.00057303,0.5,1.8
213,0.69444444,0.72,0.0,0.0,0.55555556,1.0,0.0,0.375,25.0
214,0.83333333,0.75,0.44444444,0.0,0.0,1.0,0.00080128,0.66666667,0.625
215,1.0,1.0,0.04761905,0.0,0.0,1.0,8.016e-05,1.0,10.0
216,0.66666667,0.76595745,0.06666667,0.0,0.14285714,1.0,0.00011461,0.33333333,7.0
217,0.5,0.58787879,0.0,0.0,0.4375,1.0,0.0,0.2,60.0
218,1.0,1.0,0.2,0.0,0.0,1.0,0.00030048,1.0,2.0
219,0.40659341,0.43037975,0.26,0.0,0.28571429,1.0,0.00074704,0.23076923,1.42307692
220,0.7,0.64285714,0.0,0.0,0.0,1.0,0.0,0.5,7.0
221,0.57142857,0.375,0.14285714,0.0,0.0,0.85714286,0.00022921,0.33333333,3.0
222,0.6,0.54545455,0.52,0.4,0.0,0.8,0.00104208,0.25,0.46153846
223,0.66666667,0.66666667,0.0,0.0,0.0,1.0,0.0,0.4,10.0
224,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
225,0.61111111,0.71134021,0.04347826,0.0,0.33333333,1.0,8.921e-05,0.25,11.0
226,0.95238095,0.94736842,0.0,0.0,0.71428571,1.0,0.0,0.83333333,20.0
227,0.85714286,0.82894737,0.0,0.0,0.28571429,1.0,0.0,0.66666667,18.0
228,0.6969697,0.76363636,0.0,0.0,0.75,1.0,0.0,0.45454545,46.0
229,0.78571429,0.79245283,0.0,0.0,0.5,1.0,0.0,0.57142857,22.0
230,0.67272727,0.63090129,0.11904762,0.0,0.54545455,1.0,0.00036524,0.4,3.7
231,0.93333333,0.92307692,0.0,0.0,0.0,1.0,0.0,0.8,14.0
232,0.44166667,0.56973294,0.01851852,0.0,0.5625,1.0,5.032e-05,0.26666667,26.5
233,0.80952381,0.76119403,0.0,0.0,0.14285714,1.0,0.0,0.66666667,17.0
234,0.71428571,0.69767442,0.0,0.0,0.25,1.0,0.0,0.57142857,20.0
235,0.73333333,0.67741935,0.0,0.0,0.0,1.0,0.0,0.6,11.0
236,0.83333333,0.75,0.0,0.0,0.0,1.0,0.0,0.66666667,5.0
237,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0
238,0.85714286,0.85365854,0.11111111,0.0,0.625,1.0,0.00030096,0.71428571,4.0
239,0.85714286,0.82894737,0.02702703,0.0,0.28571429,1.0,5.73e-05,0.66666667,18.0
240,0.425,0.52242744,0.0,0.0,0.375,1.0,0.0,0.13333333,51.0
241,0.31620553,0.51674641,0.0,0.0,0.52173913,1.0,0.0,0.13636364,80.0
242,0.425,0.52380952,0.01923077,0.0,0.5,1.0,5.032e-05,0.2,25.5
243,0.6,0.63265306,0.16923077,0.0,0.4,1.0,0.00044177,0.33333333,2.45454545
244,0.60606061,0.67588933,0.0,0.0,0.75,1.0,0.0,0.27272727,40.0
